,lr value,MF,LR feature,MB reward,MB punish,CH reward,CH punish,lr cf,GP reward,GP punish,AP
lr value,1.0,0.26,0.07,-0.18,-0.25,-0.12,-0.04,0.11,0.18,0.02,-0.06
MF,0.26,1.0,0.08,-0.13,0.08,0.01,0.07,0.05,0.26,0.13,0.05
LR feature,0.07,0.08,1.0,-0.27,-0.17,-0.02,0.03,0.68,0.01,-0.01,0.08
MB reward,-0.18,-0.13,-0.27,1.0,0.37,0.16,0.02,-0.22,-0.1,-0.01,0.09
MB punish,-0.25,0.08,-0.17,0.37,1.0,0.13,-0.05,-0.11,-0.13,-0.05,0.04
CH reward,-0.12,0.01,-0.02,0.16,0.13,1.0,0.34,-0.1,-0.07,-0.07,0.06
CH punish,-0.04,0.07,0.03,0.02,-0.05,0.34,1.0,0.01,-0.02,-0.02,0.08
lr cf,0.11,0.05,0.68,-0.22,-0.11,-0.1,0.01,1.0,0.01,0.13,0.04
GP reward,0.18,0.26,0.01,-0.1,-0.13,-0.07,-0.02,0.01,1.0,0.11,0.15
GP punish,0.02,0.13,-0.01,-0.01,-0.05,-0.07,-0.02,0.13,0.11,1.0,0.27
AP,-0.06,0.05,0.08,0.09,0.04,0.06,0.08,0.04,0.15,0.27,1.0
